player_id,player_name,team,season,week,position,fantasy_points_ppr,targets,receptions,receiving_yards,receiving_tds,games,snap_share,route_participation,target_share,air_yard_share
00-0037093,D.Young,SEA,2022,18,WR,4.4,2,2,24.0,0,,,,,
00-0038092,E.Ezukanma,MIA,2022,18,WR,1.3,1,1,3.0,0,,,,,
00-0036980,E.Moore,NYJ,2022,18,WR,2.1,1,1,11.0,0,,,,,
00-0034279,E.St. Brown,CHI,2022,18,WR,1.3,1,1,3.0,0,,,,,
00-0036951,F.Darby,ATL,2022,18,WR,2.5,1,1,15.0,0,,,,,
00-0036247,F.Swain,DEN,2022,18,WR,7.4,3,2,54.0,0,,,,,
00-0036196,G.Davis,BUF,2022,18,WR,6.9,10,3,39.0,0,,,,,
00-0035500,G.Dortch,ARI,2022,18,WR,8.5,4,4,30.0,0,,,,,
00-0035645,G.Olszewski,PIT,2022,18,WR,0.4,0,0,0.0,0,,,,,
00-0037247,G.Pickens,PIT,2022,18,WR,16.2,6,3,72.0,1,,,,,
00-0037740,G.Wilson,NYJ,2022,18,WR,17.9,17,9,89.0,0,,,,,
00-0034983,H.Renfrow,LV,2022,18,WR,19.3,7,7,63.0,1,,,,,
00-0033466,I.McKenzie,BUF,2022,18,WR,3.9000000000000004,3,2,19.0,0,,,,,
00-0033572,J.Agnew,JAX,2022,18,WR,1.8,1,1,8.0,0,,,,,
00-0038149,J.Ali,ATL,2022,18,WR,0.0,1,0,0.0,0,,,,,
00-0031051,J.Brown,BUF,2022,18,WR,11.2,1,1,42.0,1,,,,,
00-0036900,J.Chase,CIN,2022,18,WR,22.6,13,8,86.0,1,,,,,
00-0037741,J.Dotson,WAS,2022,18,WR,10.2,4,3,72.0,0,,,,,
00-0036322,J.Jefferson,MIN,2022,18,WR,7.800000000000001,5,4,38.0,0,,,,,
00-0036259,J.Jennings,SF,2022,18,WR,2.0,2,1,10.0,0,,,,,
00-0036407,J.Jeudy,DEN,2022,18,WR,24.3,6,5,154.0,0,,,,,
00-0034960,J.Meyers,NE,2022,18,WR,12.2,7,3,32.0,1,,,,,
00-0037291,J.Nailor,MIN,2022,18,WR,10.2,5,4,62.0,0,,,,,
